Tick;Attacker;Victim;HitGroup;Weapon
3820;76561197979652439;3;Head;USP
3910;76561197979652439;3;Head;USP
4616;76561197979652439;2;Head;USP
4742;76561197979652439;2;Head;USP
6737;World;76561197979652439;Generic;None
12064;76561197979652439;2;Head;USP
12125;76561197979652439;2;Head;USP
12141;76561197979652439;3;Head;USP
12163;76561197979652439;3;Chest;USP
12177;76561197979652439;3;Head;USP
12301;World;76561197979652439;Generic;None
14156;76561197979652439;2;RightLeg;M4A1
14162;76561197979652439;2;LeftLeg;M4A1
14177;76561197979652439;2;Head;M4A1
14221;76561197979652439;3;Head;M4A1
14228;76561197979652439;3;Head;M4A1
17471;76561197979652439;2;Chest;M4A1
17478;76561197979652439;2;Head;M4A1
17936;76561197979652439;3;Head;M4A1
17988;76561197979652439;3;Head;M4A1
19964;World;76561197979652439;Generic;None
23258;76561197979652439;3;Head;M4A1
23340;76561197979652439;3;Head;M4A1
24206;76561197979652439;2;Head;M4A1
24550;76561197979652439;2;Head;M4A1
25676;World;76561197979652439;Generic;None
29556;World;2;Generic;None
31786;World;2;Generic;None
31786;World;76561197979652439;Generic;None
31786;World;3;Generic;None
